No.,No of ghosts,Win Condition,Path Length
1,10,won,103
2,10,Lost,43
3,10,Lost,57
4,10,won,99
5,10,Lost,23
6,10,won,101
7,10,won,99
8,10,won,99
9,10,won,99
10,10,won,99
11,10,Lost,25
12,10,won,101
13,10,won,105
14,10,Lost,37
15,10,Lost,9
16,20,Lost,68
17,20,won,99
18,20,Lost,84
19,20,Lost,38
20,20,Lost,1
21,20,Lost,16
22,20,Lost,8
23,20,Lost,34
24,20,won,101
25,20,won,99
26,20,Lost,63
27,20,won,99
28,20,Lost,89
29,20,Lost,47
30,20,won,99
31,30,Lost,17
32,30,Lost,23
33,30,Lost,27
34,30,Lost,31
35,30,Lost,92
36,30,Lost,14
37,30,Lost,38
38,30,Lost,34
39,30,Lost,38
40,30,won,105
41,30,won,99
42,30,won,101
43,30,Lost,44
44,30,Lost,67
45,30,Lost,72
46,40,Lost,26
47,40,Lost,19
48,40,Lost,10
49,40,won,99
50,40,Lost,40
51,40,Lost,39
52,40,Lost,3
53,40,won,99
54,40,Lost,5
55,40,Lost,58
56,40,Lost,7
57,40,Lost,70
58,40,won,103
59,40,Lost,54
60,40,won,99
61,50,Lost,13
62,50,Lost,60
63,50,Lost,6
64,50,Lost,3
65,50,Lost,24
66,50,Lost,14
67,50,Lost,25
68,50,Lost,8
69,50,Lost,68
70,50,Lost,13
71,50,Lost,24
72,50,Lost,71
73,50,Lost,23
74,50,Lost,2
75,50,Lost,13
76,60,Lost,67
77,60,Lost,3
78,60,Lost,1
79,60,Lost,35
80,60,Lost,10
81,60,Lost,21
82,60,Lost,26
83,60,Lost,58
84,60,Lost,13
85,60,Lost,16
86,60,Lost,67
87,60,Lost,39
88,60,Lost,1
89,60,Lost,43
90,60,Lost,65
91,70,Lost,8
92,70,Lost,36
93,70,Lost,13
94,70,Lost,31
95,70,Lost,44
96,70,Lost,2
97,70,Lost,64
98,70,Lost,53
99,70,Lost,12
100,70,Lost,35
101,70,Lost,20
102,70,Lost,3
103,70,Lost,2
104,70,Lost,2
105,70,Lost,1
106,80,Lost,2
107,80,Lost,10
108,80,Lost,15
109,80,Lost,9
110,80,Lost,2
111,80,Lost,35
112,80,Lost,14
113,80,Lost,10
114,80,Lost,36
115,80,Lost,39
116,80,Lost,9
117,80,Lost,12
118,80,Lost,22
119,80,Lost,58
120,80,won,99
121,90,Lost,5
122,90,Lost,4
123,90,Lost,5
124,90,Lost,13
125,90,Lost,15
126,90,Lost,25
127,90,Lost,10
128,90,Lost,11
129,90,Lost,15
130,90,Lost,9
131,90,Lost,24
132,90,Lost,19
133,90,Lost,11
134,90,Lost,2
135,90,Lost,20
136,100,Lost,14
137,100,Lost,2
138,100,Lost,32
139,100,Lost,14
140,100,Lost,1
141,100,Lost,16
142,100,Lost,12
143,100,Lost,3
144,100,Lost,50
145,100,Lost,14
146,100,Lost,30
147,100,Lost,3
148,100,Lost,61
149,100,Lost,21
150,100,Lost,4
