No.,No of ghosts,Win Condition,Path Length
1,10,Won,117
2,10,Won,133
3,10,Won,123
4,10,Won,113
5,10,Won,125
6,10,Won,226
7,10,Won,127
8,10,Won,119
9,10,Won,109
10,10,Won,105
11,10,Won,117
12,10,Won,157
13,10,Won,113
14,10,Won,117
15,10,Won,117
16,10,Won,113
17,10,Lost,68
18,10,Won,119
19,10,Won,143
20,10,Won,121
21,10,Won,121
22,10,Won,111
23,10,Won,173
24,10,Won,105
25,10,Won,109
26,10,Won,115
27,10,Won,111
28,10,Won,117
29,10,Won,105
30,10,Lost,22
31,10,Won,129
32,10,Won,139
33,10,Lost,11
34,10,Lost,30
35,10,Won,119
36,10,Won,121
37,10,Won,121
38,10,Won,131
39,10,Lost,61
40,10,Won,115
41,10,Won,125
42,10,Won,107
43,10,Won,107
44,10,Won,173
45,10,Won,125
46,10,Won,139
47,10,Won,107
48,10,Won,135
49,10,Won,143
50,10,Won,127
51,20,Won,123
52,20,Won,133
53,20,Lost,142
54,20,Lost,27
55,20,Lost,72
56,20,Lost,95
57,20,Lost,12
58,20,Lost,43
59,20,Won,111
60,20,Won,105
61,20,Won,263
62,20,Lost,87
63,20,Lost,23
64,20,Lost,66
65,20,Won,113
66,20,Lost,1
67,20,Lost,182
68,20,Lost,3
69,20,Lost,30
70,20,Won,255
71,20,Won,119
72,20,Won,149
73,20,Won,103
74,20,Lost,18
75,20,Won,135
76,20,Lost,16
77,20,Lost,78
78,20,Won,129
79,20,Won,125
80,20,Lost,54
81,20,Won,123
82,20,Won,474
83,20,Won,148
84,20,Won,114
85,20,Lost,95
86,20,Won,138
87,20,Won,107
88,20,Won,251
89,20,Lost,96
90,20,Won,117
91,20,Won,115
92,20,Won,307
93,20,Lost,135
94,20,Lost,5
95,20,Won,183
96,20,Won,417
97,20,Won,129
98,20,Won,109
99,20,Won,127
100,20,Won,113
101,30,Lost,12
102,30,Lost,90
103,30,Lost,5
104,30,Won,121
105,30,Lost,19
106,30,Lost,10
107,30,Lost,65
108,30,Lost,27
109,30,Won,177
110,30,Lost,94
111,30,Lost,218
112,30,Lost,6
113,30,Lost,5
114,30,Lost,52
115,30,Lost,126
116,30,Lost,3
117,30,Lost,2
118,30,Lost,22
119,30,Won,149
120,30,Won,111
121,30,Won,123
122,30,Lost,26
123,30,Lost,218
124,30,Won,121
125,30,Lost,5
126,30,Lost,94
127,30,Lost,10
128,30,Won,127
129,30,Won,117
130,30,Lost,86
131,30,Lost,35
132,30,Lost,9
133,30,Lost,37
134,30,Lost,13
135,30,Won,174
136,30,Lost,10
137,30,Lost,86
138,30,Won,244
139,30,Lost,151
140,30,Lost,158
141,30,Won,133
142,30,Won,137
143,30,Won,115
144,30,Lost,2
145,30,Lost,8
146,30,Lost,3
147,30,Lost,87
148,30,Lost,17
149,30,Lost,36
150,30,Won,115
151,40,Lost,18
152,40,Lost,239
153,40,Won,140
154,40,Lost,16
155,40,Lost,52
156,40,Lost,6
157,40,Won,156
158,40,Lost,9
159,40,Lost,5
160,40,Won,121
161,40,Lost,118
162,40,Lost,271
163,40,Lost,199
164,40,Lost,19
165,40,Lost,30
166,40,Lost,62
167,40,Lost,22
168,40,Lost,48
169,40,Lost,33
170,40,Lost,20
171,40,Won,241
172,40,Lost,81
173,40,Lost,100
174,40,Lost,8
175,40,Lost,215
176,40,Lost,34
177,40,Lost,84
178,40,Lost,15
179,40,Lost,27
180,40,Lost,25
181,40,Lost,106
182,40,Lost,19
183,40,Won,147
184,40,Lost,93
185,40,Won,184
186,40,Lost,147
187,40,Lost,61
188,40,Lost,49
189,40,Lost,1
190,40,Lost,175
191,40,Lost,20
192,40,Lost,61
193,40,Lost,22
194,40,Lost,102
195,40,Lost,164
196,40,Lost,31
197,40,Lost,184
198,40,Lost,301
199,40,Lost,7
200,40,Lost,85
201,50,Lost,326
202,50,Lost,4
203,50,Won,207
204,50,Won,131
205,50,Lost,174
206,50,Lost,22
207,50,Lost,1
208,50,Lost,26
209,50,Won,208
210,50,Lost,39
211,50,Lost,30
212,50,Lost,83
213,50,Lost,16
214,50,Lost,50
215,50,Lost,44
216,50,Lost,83
217,50,Lost,5
218,50,Won,129
219,50,Lost,77
220,50,Lost,17
221,50,Lost,44
222,50,Won,274
223,50,Lost,177
224,50,Lost,60
225,50,Lost,43
226,50,Lost,16
227,50,Lost,39
228,50,Lost,3
229,50,Lost,18
230,50,Lost,17
231,50,Lost,163
232,50,Lost,38
233,50,Lost,43
234,50,Lost,2
235,50,Lost,79
236,50,Lost,96
237,50,Lost,2
238,50,Lost,18
239,50,Lost,6
240,50,Lost,10
241,50,Lost,8
242,50,Lost,1
243,50,Lost,42
244,50,Lost,121
245,50,Won,178
246,50,Lost,62
247,50,Lost,62
248,50,Lost,14
249,50,Lost,117
250,50,Lost,6
251,60,Lost,55
252,60,Lost,23
253,60,Lost,92
254,60,Lost,23
255,60,Lost,3
256,60,Lost,45
257,60,Lost,9
258,60,Lost,14
259,60,Lost,39
260,60,Lost,12
261,60,Lost,81
262,60,Lost,5
263,60,Lost,66
264,60,Won,175
265,60,Lost,22
266,60,Lost,7
267,60,Lost,183
268,60,Lost,64
269,60,Lost,25
270,60,Lost,39
271,60,Lost,41
272,60,Lost,17
273,60,Lost,3
274,60,Lost,46
275,60,Lost,104
276,60,Lost,4
277,60,Lost,2
278,60,Lost,52
279,60,Lost,26
280,60,Lost,3
281,60,Lost,2
282,60,Lost,33
283,60,Lost,4
284,60,Won,173
285,60,Lost,27
286,60,Lost,84
287,60,Lost,14
288,60,Lost,27
289,60,Lost,14
290,60,Lost,17
291,60,Lost,26
292,60,Lost,1
293,60,Lost,2
294,60,Lost,113
295,60,Lost,44
296,60,Lost,2
297,60,Lost,76
298,60,Lost,127
299,60,Won,208
300,60,Lost,36
301,70,Lost,140
302,70,Lost,38
303,70,Lost,13
304,70,Lost,229
305,70,Lost,3
306,70,Lost,16
307,70,Lost,2
308,70,Lost,39
309,70,Lost,1
310,70,Lost,15
311,70,Lost,6
312,70,Lost,9
313,70,Lost,46
314,70,Won,145
315,70,Lost,77
316,70,Lost,49
317,70,Lost,7
318,70,Lost,29
319,70,Lost,21
320,70,Lost,2
321,70,Lost,2
322,70,Lost,33
323,70,Lost,60
324,70,Lost,17
325,70,Lost,39
326,70,Lost,4
327,70,Lost,37
328,70,Lost,52
329,70,Lost,7
330,70,Lost,43
331,70,Lost,32
332,70,Lost,82
333,70,Lost,23
334,70,Lost,6
335,70,Lost,108
336,70,Lost,49
337,70,Lost,2
338,70,Lost,77
339,70,Lost,15
340,70,Lost,10
341,70,Won,119
342,70,Lost,12
343,70,Lost,15
344,70,Lost,19
345,70,Lost,70
346,70,Lost,19
347,70,Lost,35
348,70,Lost,12
349,70,Lost,9
350,70,Lost,2
351,80,Lost,47
352,80,Lost,81
353,80,Lost,7
354,80,Lost,13
355,80,Lost,8
356,80,Lost,15
357,80,Lost,2
358,80,Lost,18
359,80,Lost,4
360,80,Lost,7
361,80,Lost,10
362,80,Lost,13
363,80,Lost,59
364,80,Lost,22
365,80,Lost,24
366,80,Lost,7
367,80,Lost,3
368,80,Lost,54
369,80,Lost,5
370,80,Lost,11
371,80,Lost,13
372,80,Lost,8
373,80,Lost,2
374,80,Lost,20
375,80,Lost,51
